id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
FB02-001,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,モデル評価,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,二値分類の運用では、陽性を見逃した損失が大きいなら（　1　）を重視し、誤警報の多さが問題なら（　2　）も見る。,再現率／適合率,適合率／再現率,時間／情報漏えい,過学習／枝刈り,A,空欄1は『再現率』、空欄2は『適合率』が入る。モデル評価では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『適合率／再現率』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『時間／情報漏えい』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『過学習／枝刈り』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,モデル評価;再現率;適合率;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-002,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,モデル評価,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,閾値を上げると陽性判定は（　1　）なりやすく、一般に偽陽性は（　2　）しやすい。,少なく／減少,減少／少なく,見逃し／内訳,決定木／汎化性能,A,空欄1は『少なく』、空欄2は『減少』が入る。モデル評価では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『減少／少なく』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『見逃し／内訳』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『決定木／汎化性能』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,モデル評価;少なく;減少;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-003,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,モデル評価,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,AUCは分類閾値を動かしたときの性能を要約し、ROCでは偽陽性率と（　1　）の関係、PR曲線では適合率と（　2　）の関係を見る。,真陽性率／再現率,再現率／真陽性率,標準化／正規化,マージン／非線形,A,空欄1は『真陽性率』、空欄2は『再現率』が入る。モデル評価では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『再現率／真陽性率』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『標準化／正規化』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『マージン／非線形』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,モデル評価;真陽性率;再現率;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-004,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,モデル評価,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,回帰で外れ値の影響を強く受けやすいのは二乗誤差系の（　1　）で、絶対誤差平均は（　2　）である。,RMSE／MAE,MAE／RMSE,one-hot／ラベル,独立／確率,A,空欄1は『RMSE』、空欄2は『MAE』が入る。モデル評価では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『MAE／RMSE』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『one-hot／ラベル』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『独立／確率』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,モデル評価;RMSE;MAE;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-005,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,モデル評価,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,多クラス分類では、少数クラスを含めて各クラスを同等に見るなら（　1　）平均、件数の多いクラスの影響も反映するなら（　2　）平均を使う。,マクロ／重み付き,重み付き／マクロ,ランダム／バイアス,重心／クラスタ,A,空欄1は『マクロ』、空欄2は『重み付き』が入る。モデル評価では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『重み付き／マクロ』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『ランダム／バイアス』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『重心／クラスタ』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,モデル評価;マクロ;重み付き;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-006,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,モデル評価,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,モデルの確率出力が実際の頻度とずれているかを見る性質を（　1　）と呼び、信頼度を業務判断に使うなら（　2　）が重要になる。,キャリブレーション／校正,校正／キャリブレーション,除外／保持,次元削減／教師なし,A,空欄1は『キャリブレーション』、空欄2は『校正』が入る。モデル評価では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『校正／キャリブレーション』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『除外／保持』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『次元削減／教師なし』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,モデル評価;キャリブレーション;校正;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-007,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,モデル評価,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,評価データが学習に混ざると（　1　）が起き、未知データへの汎化性能を（　2　）評価しやすい。,データリーケージ／過大,過大／データリーケージ,データドリフト／監視,分類／線形,A,空欄1は『データリーケージ』、空欄2は『過大』が入る。モデル評価では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『過大／データリーケージ』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『データドリフト／監視』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『分類／線形』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,モデル評価;データリーケージ;過大;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-008,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,モデル評価,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,本番での性能確認には、開発中に何度も見た検証データではなく、独立した（　1　）データを使い、モデル選択には（　2　）データを使う。,テスト／検証,検証／テスト,一元／一致,分類／異なる,A,空欄1は『テスト』、空欄2は『検証』が入る。モデル評価では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『検証／テスト』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『一元／一致』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『分類／異なる』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,モデル評価;テスト;検証;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-009,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,モデル評価,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,時系列データでは未来情報を使わないように（　1　）順で分割し、ランダム分割による（　2　）を避ける。,時間／情報漏えい,情報漏えい／時間,トークン化／チャンク,特徴／意味,A,空欄1は『時間』、空欄2は『情報漏えい』が入る。モデル評価では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『情報漏えい／時間』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『トークン化／チャンク』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『特徴／意味』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,モデル評価;時間;情報漏えい;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
FB02-010,FinalBoost_Set02,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,モデル評価,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,不均衡データで全体正解率だけを見ると、少数クラスの（　1　）が隠れやすく、混同行列で（　2　）を確認する。,見逃し／内訳,内訳／見逃し,妥当性／知識,外れる／異常,A,空欄1は『見逃し』、空欄2は『内訳』が入る。モデル評価では、この2語の対応を逆にしないことが重要である。,正解。,不適切。『内訳／見逃し』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『妥当性／知識』は、空欄1と空欄2の対応関係がこの文脈と合わない。,不適切。『外れる／異常』は、空欄1と空欄2の対応関係がこの文脈と合わない。,2つの空欄を別々に暗記するのではなく、対応関係として見る。順番の入れ替えが典型的なひっかけ。,モデル評価;見逃し;内訳;穴埋め;G検定,さいはての未来では、イオが2つの概念の対応を観測して取り違えを避ける。四年五組なら、うっけが勢いで逆にして、カサネが静かに戻す。
