id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
G3000-RS11-001,Rebuild_Set11,rebuild_50,term,DQN,用語理解・比較,通常4択,標準,用語混同・役割混同,DQNの特徴として最も適切なものはどれか。,Q学習の行動価値関数をニューラルネットワークで近似する,正解ラベル付き画像だけを分類するCNNである,GANの識別器だけを強化した生成モデルである,クラスタを階層化する教師なし学習である,A,DQNはDeep Q-Networkで、Q値を深層ニューラルネットワークで近似する価値ベースの強化学習である。,正解。DQNはDeep Q-Networkで、Q値を深層ニューラルネットワークで近似する価値ベースの強化学習である。,誤答。正解ラベル付き画像だけを分類するCNNである は、この設問の対象概念とは異なる。,誤答。GANの識別器だけを強化した生成モデルである は、この設問の対象概念とは異なる。,誤答。クラスタを階層化する教師なし学習である は、この設問の対象概念とは異なる。,同じ語が別分野でも使われるため、強化学習・エージェント安全性の文脈で判断する。,さいはての未来では、イオが一歩ごとの報酬だけでなく、その先の危険や人への影響まで見て行動を選ぶ。,DQN;Deep Q-Network;Q学習;行動価値;強化学習
G3000-RS11-002,Rebuild_Set11,rebuild_50,case,経験再生,理解・ケース判断,ケース判断4択,標準,用語混同・役割混同,DQNで経験再生を使う主な目的はどれか。,過去の遷移をバッファに保存し、ランダムに取り出してサンプル相関を弱める,報酬をすべて0にして方策の偏りをなくす,正解ラベルを人手で増やす,探索木の枝を必ず全探索する,A,経験再生は状態・行動・報酬・次状態を蓄積し、ランダムサンプリングで学習を安定させる。,正解。経験再生は状態・行動・報酬・次状態を蓄積し、ランダムサンプリングで学習を安定させる。,誤答。報酬をすべて0にして方策の偏りをなくす は、この設問の対象概念とは異なる。,誤答。正解ラベルを人手で増やす は、この設問の対象概念とは異なる。,誤答。探索木の枝を必ず全探索する は、この設問の対象概念とは異なる。,同じ語が別分野でも使われるため、強化学習・エージェント安全性の文脈で判断する。,さいはての未来では、イオが一歩ごとの報酬だけでなく、その先の危険や人への影響まで見て行動を選ぶ。,経験再生;Replay Buffer;DQN;相関;学習安定化
G3000-RS11-003,Rebuild_Set11,rebuild_50,compare,ターゲットネットワーク,用語理解・比較,比較4択,標準,用語混同・役割混同,DQNにおけるターゲットネットワークの役割はどれか。,目標Q値を計算するネットワークを一定間隔で更新し、学習を安定化する,物体検出のバウンディングボックスを作る,著作権侵害コンテンツを外部DBで照合する,テストデータだけで精度を上げる,A,ターゲットネットワークは更新対象と目標値が同時に揺れすぎることを抑える。,正解。ターゲットネットワークは更新対象と目標値が同時に揺れすぎることを抑える。,誤答。物体検出のバウンディングボックスを作る は、この設問の対象概念とは異なる。,誤答。著作権侵害コンテンツを外部DBで照合する は、この設問の対象概念とは異なる。,誤答。テストデータだけで精度を上げる は、この設問の対象概念とは異なる。,同じ語が別分野でも使われるため、強化学習・エージェント安全性の文脈で判断する。,さいはての未来では、イオが一歩ごとの報酬だけでなく、その先の危険や人への影響まで見て行動を選ぶ。,ターゲットネットワーク;DQN;Q値;強化学習;安定化
G3000-RS11-004,Rebuild_Set11,rebuild_50,term,Q学習,用語理解・比較,通常4択,標準,用語混同・役割混同,Q学習がオフ方策型とされる理由として最も適切なものはどれか。,実際に選んだ行動とは別に、更新では最大Q値を用いることができる,常に人間の正解ラベルで学習する,報酬を使わずクラスタを作る,モデルの重みを更新しない,A,Q学習は行動選択方策と更新で仮定する貪欲方策が一致しなくても学習できる。,正解。Q学習は行動選択方策と更新で仮定する貪欲方策が一致しなくても学習できる。,誤答。常に人間の正解ラベルで学習する は、この設問の対象概念とは異なる。,誤答。報酬を使わずクラスタを作る は、この設問の対象概念とは異なる。,誤答。モデルの重みを更新しない は、この設問の対象概念とは異なる。,同じ語が別分野でも使われるため、強化学習・エージェント安全性の文脈で判断する。,さいはての未来では、イオが一歩ごとの報酬だけでなく、その先の危険や人への影響まで見て行動を選ぶ。,Q学習;オフ方策;最大Q値;強化学習;方策
G3000-RS11-005,Rebuild_Set11,rebuild_50,case,SARSA,理解・ケース判断,ケース判断4択,標準,用語混同・役割混同,SARSAの特徴として最も適切なものはどれか。,実際に次に選んだ行動の価値を使って更新するオン方策手法である,常に最大Q値だけを使うオフ方策手法である,畳み込みフィルタを自動生成する手法である,単語をサブワードに分割する手法である,A,SARSAは状態・行動・報酬・次状態・次行動を使い、実際の行動方策に沿って更新する。,正解。SARSAは状態・行動・報酬・次状態・次行動を使い、実際の行動方策に沿って更新する。,誤答。常に最大Q値だけを使うオフ方策手法である は、この設問の対象概念とは異なる。,誤答。畳み込みフィルタを自動生成する手法である は、この設問の対象概念とは異なる。,誤答。単語をサブワードに分割する手法である は、この設問の対象概念とは異なる。,同じ語が別分野でも使われるため、強化学習・エージェント安全性の文脈で判断する。,さいはての未来では、イオが一歩ごとの報酬だけでなく、その先の危険や人への影響まで見て行動を選ぶ。,SARSA;オン方策;Q学習;強化学習;行動価値
G3000-RS11-006,Rebuild_Set11,rebuild_50,term,方策勾配法,用語理解・比較,通常4択,標準,用語混同・役割混同,方策勾配法の説明として最も適切なものはどれか。,方策そのものをパラメータ化し、期待報酬が高くなるよう更新する,主成分に射影して次元削減する,データをk個のクラスタに分ける,欠損値を平均値で補完する,A,方策勾配法は価値表ではなく、行動選択確率を直接改善する系統の手法である。,正解。方策勾配法は価値表ではなく、行動選択確率を直接改善する系統の手法である。,誤答。主成分に射影して次元削減する は、この設問の対象概念とは異なる。,誤答。データをk個のクラスタに分ける は、この設問の対象概念とは異なる。,誤答。欠損値を平均値で補完する は、この設問の対象概念とは異なる。,同じ語が別分野でも使われるため、強化学習・エージェント安全性の文脈で判断する。,さいはての未来では、イオが一歩ごとの報酬だけでなく、その先の危険や人への影響まで見て行動を選ぶ。,方策勾配法;Policy Gradient;方策;期待報酬;強化学習
G3000-RS11-007,Rebuild_Set11,rebuild_50,case,Actor-Critic,理解・ケース判断,ケース判断4択,標準,用語混同・役割混同,Actor-Criticの説明として最も適切なものはどれか。,行動を選ぶActorと価値を評価するCriticを組み合わせる,生成器Actorと識別器Criticだけで画像を生成する,教師データActorと検証データCriticを分ける,クラスタ中心Actorと外れ値Criticを交互に消す,A,Actor-Criticは方策の学習と価値評価を組み合わせる強化学習の枠組みである。,正解。Actor-Criticは方策の学習と価値評価を組み合わせる強化学習の枠組みである。,誤答。生成器Actorと識別器Criticだけで画像を生成する は、この設問の対象概念とは異なる。,誤答。教師データActorと検証データCriticを分ける は、この設問の対象概念とは異なる。,誤答。クラスタ中心Actorと外れ値Criticを交互に消す は、この設問の対象概念とは異なる。,同じ語が別分野でも使われるため、強化学習・エージェント安全性の文脈で判断する。,さいはての未来では、イオが一歩ごとの報酬だけでなく、その先の危険や人への影響まで見て行動を選ぶ。,Actor-Critic;Actor;Critic;価値関数;方策
G3000-RS11-008,Rebuild_Set11,rebuild_50,compare,状態価値と行動価値,用語理解・比較,比較4択,標準,用語混同・役割混同,"状態価値関数V(s)と行動価値関数Q(s,a)の違いはどれか。",Vは状態の良さ、Qは状態で特定行動を取る良さを表す,Vは検証データ数、Qは訓練データ数を表す,Vは画像特徴量、Qは文章特徴量を表す,Vは損失関数、Qは活性化関数を表す,A,"V(s)は状態だけ、Q(s,a)は状態と行動の組に対する期待収益を表す。","正解。V(s)は状態だけ、Q(s,a)は状態と行動の組に対する期待収益を表す。",誤答。Vは検証データ数、Qは訓練データ数を表す は、この設問の対象概念とは異なる。,誤答。Vは画像特徴量、Qは文章特徴量を表す は、この設問の対象概念とは異なる。,誤答。Vは損失関数、Qは活性化関数を表す は、この設問の対象概念とは異なる。,同じ語が別分野でも使われるため、強化学習・エージェント安全性の文脈で判断する。,さいはての未来では、イオが一歩ごとの報酬だけでなく、その先の危険や人への影響まで見て行動を選ぶ。,状態価値関数;行動価値関数;V関数;Q関数;強化学習
G3000-RS11-009,Rebuild_Set11,rebuild_50,term,報酬設計,用語理解・比較,通常4択,標準,用語混同・役割混同,報酬設計で起こり得る問題として最も適切なものはどれか。,目的とずれた報酬により、エージェントが意図しない行動を高得点化する,報酬を細かくすれば必ず人間の意図通りになる,報酬は教師あり学習の正解ラベルと完全に同じである,報酬はテストデータの正解率だけである,A,報酬は目的の代理指標であり、ずれると報酬ハッキングが起こり得る。,正解。報酬は目的の代理指標であり、ずれると報酬ハッキングが起こり得る。,誤答。報酬を細かくすれば必ず人間の意図通りになる は、この設問の対象概念とは異なる。,誤答。報酬は教師あり学習の正解ラベルと完全に同じである は、この設問の対象概念とは異なる。,誤答。報酬はテストデータの正解率だけである は、この設問の対象概念とは異なる。,同じ語が別分野でも使われるため、強化学習・エージェント安全性の文脈で判断する。,さいはての未来では、イオが一歩ごとの報酬だけでなく、その先の危険や人への影響まで見て行動を選ぶ。,報酬設計;報酬ハッキング;仕様の穴;強化学習;AI安全性
G3000-RS11-010,Rebuild_Set11,rebuild_50,case,探索と活用,理解・ケース判断,ケース判断4択,標準,用語混同・役割混同,探索と活用のトレードオフの説明として最も適切なものはどれか。,未知の行動を試す探索と、既に良い行動を使う活用のバランスが必要である,訓練データとテストデータを同じにするほど評価がよい,損失関数を使わないほど過学習を避けられる,モデルを大きくすれば探索は不要になる,A,強化学習では新しい行動を試すことと、既知の良い行動を使うことの両立が重要である。,正解。強化学習では新しい行動を試すことと、既知の良い行動を使うことの両立が重要である。,誤答。訓練データとテストデータを同じにするほど評価がよい は、この設問の対象概念とは異なる。,誤答。損失関数を使わないほど過学習を避けられる は、この設問の対象概念とは異なる。,誤答。モデルを大きくすれば探索は不要になる は、この設問の対象概念とは異なる。,同じ語が別分野でも使われるため、強化学習・エージェント安全性の文脈で判断する。,さいはての未来では、イオが一歩ごとの報酬だけでなく、その先の危険や人への影響まで見て行動を選ぶ。,探索;活用;Exploration;Exploitation;ε-greedy
