id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R20-001,Rebuild_Set20,検索性重視・非重複50問,case,人間中心AI,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,顧客対応AIを導入する際、精度指標だけで承認せず、利用者が誤回答に気づける表示や問い合わせ先も設計した。最も近い考え方はどれか。,人間の判断・権利・安全を中心に置いてAIを設計する,モデルの層数を増やせば人間中心AIになる,学習率を下げれば説明責任は満たされる,GPUを増やすことが人間中心AIの主目的である,A,人間中心AIは、人間の価値・安全・権利・利用状況を踏まえてAIを設計・運用する考え方。単なる高精度化ではない。,正しい。人間の判断・権利・安全を中心に置いてAIを設計する。,誤り。モデルの層数を増やせば人間中心AIになるは、この設問で問う「人間中心AI」の説明としては適切でない。,誤り。学習率を下げれば説明責任は満たされるは、この設問で問う「人間中心AI」の説明としては適切でない。,誤り。GPUを増やすことが人間中心AIの主目的であるは、この設問で問う「人間中心AI」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,人間中心AI;Human-Centered AI;利用者;安全性,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-002,Rebuild_Set20,検索性重視・非重複50問,case,ステークホルダー分析,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,採用AIの導入前に、応募者、人事担当、現場部門、監査部門など影響を受ける関係者を洗い出した。最も適切な目的はどれか。,正解ラベルを自動で増やすため,利害関係者ごとのリスクや期待を把握するため,勾配消失を防ぐため,画像の畳み込み演算を高速化するため,B,ステークホルダー分析は、AIの影響を受ける人・組織を把握し、リスクや説明の必要性を見落とさないために行う。,誤り。正解ラベルを自動で増やすためは、この設問で問う「ステークホルダー分析」の説明としては適切でない。,正しい。利害関係者ごとのリスクや期待を把握するため。,誤り。勾配消失を防ぐためは、この設問で問う「ステークホルダー分析」の説明としては適切でない。,誤り。画像の畳み込み演算を高速化するためは、この設問で問う「ステークホルダー分析」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,ステークホルダー;利害関係者;AI導入;影響評価,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-003,Rebuild_Set20,検索性重視・非重複50問,compare,リスクベースアプローチ,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,理解,比較,中,中,社内FAQボットと医療判断支援AIで、同じ管理策ではなく影響度に応じて審査・監視の強さを変える考え方はどれか。,すべてのAIを同じ手順で禁止する,モデルの正解率が高ければリスク確認を省略する,影響の大きさや発生可能性に応じて対策の強さを変える,利用者が多いAIほど必ずリスクが低いとみなす,C,リスクベースアプローチでは、危害の重大性や発生可能性に応じて管理策を選ぶ。低リスクと高リスクを同じ扱いにしない。,誤り。すべてのAIを同じ手順で禁止するは、この設問で問う「リスクベースアプローチ」の説明としては適切でない。,誤り。モデルの正解率が高ければリスク確認を省略するは、この設問で問う「リスクベースアプローチ」の説明としては適切でない。,正しい。影響の大きさや発生可能性に応じて対策の強さを変える。,誤り。利用者が多いAIほど必ずリスクが低いとみなすは、この設問で問う「リスクベースアプローチ」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,リスクベースアプローチ;AIガバナンス;リスク評価;影響度,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-004,Rebuild_Set20,検索性重視・非重複50問,case,AI影響評価,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,医療支援AIを本番導入する前に、誤判定時の患者影響、医師の確認手順、ログ保存、説明文書を確認した。これは何に近いか。,データ拡張,One-hotエンコーディング,主成分分析,AI影響評価・リスクアセスメント,D,AI影響評価では、技術性能だけでなく、人への影響、運用時の責任、確認手順などを評価する。,誤り。データ拡張は、この設問で問う「AI影響評価」の説明としては適切でない。,誤り。One-hotエンコーディングは、この設問で問う「AI影響評価」の説明としては適切でない。,誤り。主成分分析は、この設問で問う「AI影響評価」の説明としては適切でない。,正しい。AI影響評価・リスクアセスメント。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,AI影響評価;リスクアセスメント;医療AI;人間の監督,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-005,Rebuild_Set20,検索性重視・非重複50問,term,オートメーションバイアス,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,理解,用語説明,中,中,AIの出力を人間が過信し、自分で確認すべき場面でもAIの判断に引きずられる現象として最も適切なものはどれか。,データリーケージ,オートメーションバイアス,カーネルトリック,ミニバッチ学習,B,オートメーションバイアスは、自動化されたシステムの出力を人が過度に信頼してしまう傾向。人間の確認設計が重要になる。,誤り。データリーケージは、この設問で問う「オートメーションバイアス」の説明としては適切でない。,正しい。オートメーションバイアス。,誤り。カーネルトリックは、この設問で問う「オートメーションバイアス」の説明としては適切でない。,誤り。ミニバッチ学習は、この設問で問う「オートメーションバイアス」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,オートメーションバイアス;過信;Human-in-the-loop;AI出力,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-006,Rebuild_Set20,検索性重視・非重複50問,case,過信対策,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,高,AIの判定画面に信頼度、根拠データの範囲、最終判断者、異議申立て窓口を表示した。最も狙いに近いものはどれか。,利用者がAI出力を盲信せず検証できるようにする,GPU使用率を上げる,訓練データ数を必ず減らす,探索木を深くする,A,信頼度や根拠範囲、異議申立ての導線は、過信を抑え、利用者が確認しやすくするための設計。,正しい。利用者がAI出力を盲信せず検証できるようにする。,誤り。GPU使用率を上げるは、この設問で問う「過信対策」の説明としては適切でない。,誤り。訓練データ数を必ず減らすは、この設問で問う「過信対策」の説明としては適切でない。,誤り。探索木を深くするは、この設問で問う「過信対策」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,過信対策;信頼度表示;異議申立て;説明,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-007,Rebuild_Set20,検索性重視・非重複50問,term,コンテスタビリティ,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,理解,用語説明,中,高,AIの判断に対して、利用者が説明を求めたり異議を申し立てたりできる性質として最も近いものはどれか。,蒸留,量子化,プーリング,コンテスタビリティ,D,コンテスタビリティは、AIによる判断に対して人が異議を唱えたり再確認を求めたりできること。社会実装で重要。,誤り。蒸留は、この設問で問う「コンテスタビリティ」の説明としては適切でない。,誤り。量子化は、この設問で問う「コンテスタビリティ」の説明としては適切でない。,誤り。プーリングは、この設問で問う「コンテスタビリティ」の説明としては適切でない。,正しい。コンテスタビリティ。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,コンテスタビリティ;異議申立て;AI判断;利用者保護,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-008,Rebuild_Set20,検索性重視・非重複50問,case,説明責任,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,AIが融資審査を補助する場合、企業が「AIがそう言ったから」で終わらせず、判断の根拠や運用責任を説明できる体制を作った。最も近い概念はどれか。,エポック,ドロップアウト,アカウンタビリティ,正規化,C,アカウンタビリティは、AIの利用結果について組織が説明し責任を果たせる状態を指す。モデル内部の可視化だけではない。,誤り。エポックは、この設問で問う「説明責任」の説明としては適切でない。,誤り。ドロップアウトは、この設問で問う「説明責任」の説明としては適切でない。,正しい。アカウンタビリティ。,誤り。正規化は、この設問で問う「説明責任」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,アカウンタビリティ;説明責任;融資AI;責任体制,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-009,Rebuild_Set20,検索性重視・非重複50問,compare,透明性と説明可能性,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,理解,比較,中,高,透明性と説明可能性の違いに関する説明として最も適切なものはどれか。,透明性は情報開示の広さ、説明可能性は判断理由を理解できることに寄る,透明性はGPU性能、説明可能性はバッチサイズを意味する,透明性があれば必ず公平性も保証される,説明可能性は訓練データを削除する技術である,A,透明性は仕組み・目的・利用範囲などの開示、説明可能性は出力理由を人が理解できることに近い。両者は関係するが同一ではない。,正しい。透明性は情報開示の広さ、説明可能性は判断理由を理解できることに寄る。,誤り。透明性はGPU性能、説明可能性はバッチサイズを意味するは、この設問で問う「透明性と説明可能性」の説明としては適切でない。,誤り。透明性があれば必ず公平性も保証されるは、この設問で問う「透明性と説明可能性」の説明としては適切でない。,誤り。説明可能性は訓練データを削除する技術であるは、この設問で問う「透明性と説明可能性」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,透明性;説明可能性;XAI;情報開示,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
R20-010,Rebuild_Set20,検索性重視・非重複50問,case,モデルカード,AI社会実装・人間中心AI・ガバナンス実践・運用リスク,応用,ケース判断,中,中,公開モデルに対し、想定用途、非推奨用途、評価条件、限界、学習データ概要を記した文書を添付した。最も近いものはどれか。,混同行列,モデルカード,ROC曲線,デンドログラム,B,モデルカードは、モデルの用途・性能・限界・注意点などを記述し、利用者が適切に判断するための文書。,誤り。混同行列は、この設問で問う「モデルカード」の説明としては適切でない。,正しい。モデルカード。,誤り。ROC曲線は、この設問で問う「モデルカード」の説明としては適切でない。,誤り。デンドログラムは、この設問で問う「モデルカード」の説明としては適切でない。,G検定では「精度が高い=導入してよい」と単純化せず、利用者影響・運用責任・説明・監査・安全設計まで問われる。,モデルカード;model card;想定用途;モデルの限界,さいはてでは、ミチの出力を信じるだけでなく、誰が確認し、止め、説明できるかまで設計する。
