id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
G3000-R12-001,Rebuild_Set12,rebuild,case,データ前処理,apply,case,stable,high,"金額列に「1,200円」「不明」「0」「-」が混在する売上予測データを扱う。最初に行う対応として最も適切なものはどれか。",値の意味、単位、欠損、外れ値の扱いを確認してから数値化する,すべて0に置換する,文字列のまま距離計算する,金額列を必ず削除する,A,前処理では表記ゆれや欠損の意味を確認する。0置換や削除は、意味確認なしに行うと誤学習につながる。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,0置換万能がひっかけ。,ユイが「この0は本当に0？」と確認する。,データ前処理;欠損値;表記ゆれ;外れ値;売上予測
G3000-R12-002,Rebuild_Set12,rebuild,term,欠損値補完,understand,term,stable,medium,欠損値補完について最も適切な説明はどれか。,平均値・中央値・最頻値などで補う方法があるが、データの性質に応じて選ぶ,欠損値は常に全行削除が最善である,補完すればデータリーケージは絶対に起きない,教師なし学習では欠損値は存在しない,A,欠損値処理には削除や補完がある。補完方法は分布、意味、目的に応じて選ぶ。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,平均値補完＝常に正解ではない。,カサネは空白の理由を見てから埋める。,欠損値;平均値補完;中央値補完;データリーケージ;前処理
G3000-R12-003,Rebuild_Set12,rebuild,compare,外れ値処理,understand,compare,stable,medium,外れ値の扱いとして最も適切な考え方はどれか。,測定ミスなのか重要な異常事象なのかを確認し、目的に応じて扱いを決める,外れ値は必ず誤りなので無条件に削除する,外れ値は常に性能を高めるので全て残す,外れ値処理は画像認識だけに関係する,A,外れ値は誤入力のこともあれば、異常検知で重要な信号のこともある。目的に応じて判断する。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,外れ値＝削除と決めつけるのがひっかけ。,イオは異常な揺れを消す前に、合図か確かめる。,外れ値;異常値;異常検知;前処理;データ品質
G3000-R12-004,Rebuild_Set12,rebuild,case,標準化・正規化,apply,case,stable,high,身長・体重・年収のようにスケールが大きく異なる特徴量を距離ベース手法で扱う。検討すべき前処理はどれか。,特徴量の標準化や正規化を検討する,目的変数を削除する,全特徴量を文章化する,テストデータも混ぜて平均と分散を求める,A,距離ベース手法ではスケールの大きい特徴量が過度に効くため、標準化や正規化を検討する。統計量は訓練データで求める。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,標準化でテスト情報を使う選択肢がひっかけ。,ミチの声量をそろえて聞き比べる。,標準化;正規化;スケーリング;k近傍法;データリーケージ
G3000-R12-005,Rebuild_Set12,rebuild,term,One-hot encoding,understand,term,stable,medium,One-hot encodingの説明として最も適切なものはどれか。,カテゴリ変数を各カテゴリに対応する0/1の列で表す方法,連続値を必ず正規分布に変換する方法,モデル重みをすべて1に初期化する方法,画像を白黒1色に変換する方法,A,One-hot encodingはカテゴリを0/1ベクトルで表す方法。順序のないカテゴリに大小関係を入れにくい。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,ラベルエンコーディングとの違いがひっかけ。,係札を0/1の札に分ける。,One-hot encoding;カテゴリ変数;ダミー変数;特徴量
G3000-R12-006,Rebuild_Set12,rebuild,case,ラベルエンコーディング,apply,case,stable,high,順序のない「赤・青・緑」を赤=1、青=2、緑=3として距離ベースモデルに入れる時の注意点はどれか。,本来ない大小関係や距離が入る可能性がある,数値化したので必ず最善になる,カテゴリ変数は教師あり学習では使えない,距離ベースモデルは数値差を無視する,A,順序のないカテゴリを整数にすると、モデルが大小や距離を意味として扱う可能性がある。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,数値化すればよい、がひっかけ。,色に勝手な順位を付けると世界が意味を読み始める。,ラベルエンコーディング;カテゴリ変数;距離ベース;One-hot encoding
G3000-R12-007,Rebuild_Set12,rebuild,term,特徴量エンジニアリング,understand,term,stable,medium,特徴量エンジニアリングの説明として最も適切なものはどれか。,元データから有用な特徴量を作成・変換・選択すること,テストデータの正解を訓練に混ぜること,ハイパーパラメータをランダム固定すること,説明可能性を不要にすること,A,特徴量エンジニアリングは、モデルが学習しやすい入力表現を作る作業。ドメイン知識も使う。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,リーケージを特徴量作成と誤認するひっかけ。,ユイが日時から曜日や月末フラグを作る。,特徴量エンジニアリング;特徴量選択;ドメイン知識;前処理
G3000-R12-008,Rebuild_Set12,rebuild,case,特徴量選択,apply,case,stable,high,多数の説明変数を使ったモデルが解釈しにくく、不要な変数も多い。まず検討する方法はどれか。,特徴量選択や次元削減を検討する,テストデータを訓練に追加する,評価指標を都合よく変える,目的変数をランダムに並べ替える,A,特徴量選択は重要な変数を選び、解釈性向上や過学習抑制に役立つことがある。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,精度向上のためにテストを混ぜる選択肢がひっかけ。,通知魚が多すぎるので必要な合図だけ残す。,特徴量選択;次元削減;過学習;解釈性
G3000-R12-009,Rebuild_Set12,rebuild,term,データ拡張,understand,term,stable,medium,画像認識におけるデータ拡張の説明として最も適切なものはどれか。,回転・反転・切り出し・明るさ変更などで訓練データの多様性を増やす,テスト画像を訓練画像にそのまま追加する,正解ラベルをすべて同じクラスにする,出力層を削除して評価する,A,データ拡張は訓練データに変換を加え、汎化性能向上を狙う手法。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,データを増やす＝テストを混ぜる、ではない。,同じ絵を少し傾けて練習問題を増やす。,データ拡張;画像認識;汎化性能;回転;反転
G3000-R12-010,Rebuild_Set12,rebuild,case,データ拡張の注意,apply,case,stable,high,医療画像分類で左右反転のデータ拡張を使う時の注意点はどれか。,左右の違いが診断上の意味を持つ場合、ラベルの意味を壊さないか確認する,左右反転は常に安全なので確認不要である,データ拡張を使うと過学習は絶対に起きない,データ拡張は自然言語処理でしか使えない,A,データ拡張は有効だが、変換がラベルの意味を壊す場合がある。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,反転・回転はいつでも安全、がひっかけ。,地図を裏返したら道の意味まで変わる。,データ拡張;医療画像;ラベル;左右反転;画像分類
G3000-R12-011,Rebuild_Set12,rebuild,term,アノテーション,understand,term,stable,medium,画像や文章データに対するアノテーションの役割として最も適切なものはどれか。,データに正解ラベルや領域情報などを付与する作業,モデルの重みを暗号化する作業,学習率を自動で0にする作業,GPUの温度を下げる作業,A,アノテーションは教師あり学習で必要な正解情報を付ける作業。画像の矩形や文章カテゴリなどがある。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,データ拡張との混同に注意。,センセイが絵の中の岩に印をつける。,アノテーション;ラベル付け;教師あり学習;バウンディングボックス
G3000-R12-012,Rebuild_Set12,rebuild,case,アノテーション品質,apply,case,stable,high,複数人で画像にラベル付けしたら基準がばらついた。最も適切な対応はどれか。,基準書を作り、例示・レビュー・二重チェックで品質を高める,ばらつきは必ず学習に良いので放置する,担当者名を特徴量に入れれば常に解決する,ラベルをすべてランダムにすれば公平になる,A,アノテーション品質はモデル品質に直結する。基準書やレビューでばらつきを抑える。,正解。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,誤り。正解の説明と異なる。,ラベル量だけでなく品質が重要。,「黒」の範囲を全員で合わせる。,アノテーション品質;ラベルノイズ;基準書;データ品質
