id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R38-001,Rebuild_Set38,横断複合・重複回避十七段目,case,ベクトル検索の再現性,生成AI/RAG,判断/運用,case,新しめ,検索インデックス更新で評価条件が変わる罠,社内RAGの評価で、先月と同じ質問セットなのに回答品質が急に上がった。調べるとベクトルDBの文書分割と埋め込みモデルを同時に変えていた。最も適切な対応はどれか。,変更点を分け、文書分割・埋め込み・検索上位件数などを記録して比較する,上がった結果だけを採用し、変更内容は問わない,LLM本体を変えていないのでRAG評価条件は同一とみなす,回答が自然なら検索品質の評価は不要である,A,RAGでは検索部分の変更が回答品質に大きく影響する。変更点を分けて記録しないと、どの改善が効いたか判断できない。,正解。RAGでは検索部分の変更が回答品質に大きく影響する。変更点を分けて記録しないと、どの改善が効いたか判断できない。,誤り。設問の条件では、上がった結果だけを採用し、変更内容は問わない は適切でない。,誤り。設問の条件では、LLM本体を変えていないのでRAG評価条件は同一とみなす は適切でない。,誤り。設問の条件では、回答が自然なら検索品質の評価は不要である は適切でない。,検索インデックス更新で評価条件が変わる罠,RAG;ベクトルDB;埋め込み;チャンク;評価再現性,さいはてで観測器と通路を同時に変えると、何が未来を変えたのか分からない。
R38-002,Rebuild_Set38,横断複合・重複回避十七段目,case,匿名加工と再識別,法律/プライバシー,判断/倫理,case,新しめ,名前を消せば安全と考える罠,購買履歴から氏名を削除してAI分析に使う計画がある。しかし購入日時・店舗・希少商品の組み合わせで個人を推測できる可能性がある。最も適切な説明はどれか。,氏名を消しても、他情報との照合で再識別されるリスクが残る,氏名を削除すれば常に個人情報ではなくなる,AI分析目的なら再識別リスクは考慮しなくてよい,希少な履歴ほど分析価値が高いので保護対象から外せる,A,直接識別子を消しても、準識別子の組み合わせで個人が推測される場合がある。プライバシー保護では再識別リスクを見る。,正解。直接識別子を消しても、準識別子の組み合わせで個人が推測される場合がある。プライバシー保護では再識別リスクを見る。,誤り。設問の条件では、氏名を削除すれば常に個人情報ではなくなる は適切でない。,誤り。設問の条件では、AI分析目的なら再識別リスクは考慮しなくてよい は適切でない。,誤り。設問の条件では、希少な履歴ほど分析価値が高いので保護対象から外せる は適切でない。,名前を消せば安全と考える罠,匿名加工情報;仮名加工情報;再識別;準識別子;個人情報保護,四年五組で名前札を外しても、足あとと口ぐせで誰か分かることがある。
R38-003,Rebuild_Set38,横断複合・重複回避十七段目,case,AI計算資源と環境影響,AI社会実装/運用,判断/ガバナンス,case,新しめ,精度向上だけで計算コストを無視する罠,大規模モデルの再学習を頻繁に行う案が出た。精度改善はわずかだが、GPU利用時間と電力消費が大きい。最も適切な判断はどれか。,精度、計算コスト、電力消費、再学習頻度、業務効果を合わせて比較する,AIの環境影響は試験や実務で考慮する必要がない,GPUを使うほどモデルは必ず公平になる,再学習回数を増やせば、データ品質の問題は必ず消える,A,AI運用では精度だけでなく、計算資源、コスト、環境影響、業務効果も考慮する。,正解。AI運用では精度だけでなく、計算資源、コスト、環境影響、業務効果も考慮する。,誤り。設問の条件では、AIの環境影響は試験や実務で考慮する必要がない は適切でない。,誤り。設問の条件では、GPUを使うほどモデルは必ず公平になる は適切でない。,誤り。設問の条件では、再学習回数を増やせば、データ品質の問題は必ず消える は適切でない。,精度向上だけで計算コストを無視する罠,GPU;計算資源;環境影響;再学習;AI運用コスト,さいはてで未来を一歩近づけるたび、どれだけ光を使ったかも見る。
R38-004,Rebuild_Set38,横断複合・重複回避十七段目,case,データ来歴とモデル由来,AIガバナンス/来歴管理,判断/監査,case,新しめ,動くモデルなら由来不明でも使える罠,外部から入手した学習済みモデルを社内サービスに組み込む案がある。提供元の学習データやライセンス条件が不明である。最も適切な対応はどれか。,モデルの提供元、ライセンス、学習データ概要、利用制限、既知リスクを確認する,推論結果が便利なら、モデルの由来は確認不要である,重みファイルだけなら著作権や契約の問題は発生しない,社内で使う限り、外部モデルの利用条件は常に無視できる,A,外部モデル利用では来歴、ライセンス、データ由来、利用制限を確認する必要がある。,正解。外部モデル利用では来歴、ライセンス、データ由来、利用制限を確認する必要がある。,誤り。設問の条件では、推論結果が便利なら、モデルの由来は確認不要である は適切でない。,誤り。設問の条件では、重みファイルだけなら著作権や契約の問題は発生しない は適切でない。,誤り。設問の条件では、社内で使う限り、外部モデルの利用条件は常に無視できる は適切でない。,動くモデルなら由来不明でも使える罠,モデル来歴;ライセンス;外部モデル;データ由来;AIガバナンス,拾った道具がよく切れても、誰のものかを確かめる。
R38-005,Rebuild_Set38,横断複合・重複回避十七段目,case,モデル圧縮と監査,モデル運用/軽量化,判断/運用,case,安定領域,軽量化後も同じ振る舞いとみなす罠,エッジ端末で動かすため、画像分類モデルを量子化して軽量化した。最も必要な確認はどれか。,軽量化前後で精度、クラス別性能、遅延、誤分類傾向を比較する,量子化は保存形式の変更だけなので評価は不要である,モデルサイズが小さくなれば必ず公平性も改善する,端末上で動くなら入力分布の変化は無視できる,A,量子化や蒸留で性能や誤分類傾向が変わることがある。軽量化後の評価が必要。,正解。量子化や蒸留で性能や誤分類傾向が変わることがある。軽量化後の評価が必要。,誤り。設問の条件では、量子化は保存形式の変更だけなので評価は不要である は適切でない。,誤り。設問の条件では、モデルサイズが小さくなれば必ず公平性も改善する は適切でない。,誤り。設問の条件では、端末上で動くなら入力分布の変化は無視できる は適切でない。,軽量化後も同じ振る舞いとみなす罠,量子化;モデル圧縮;エッジAI;クラス別性能;推論遅延,さいはてで声を小さくしても、意味が欠けていないか確かめる。
R38-006,Rebuild_Set38,横断複合・重複回避十七段目,case,人間の最終判断,AI倫理/運用,判断/倫理,case,安定領域,人間を置けば自動的に責任が果たせる罠,ローン審査AIの出力を担当者が確認して最終決裁する仕組みにした。しかし担当者はAI判定をほぼそのまま承認している。最も適切な改善はどれか。,判断根拠、異議申立て、AIに反する判断の記録、担当者教育を設計する,人間が最後に押印しているため、説明責任は完全に満たされる,AIの出力に従うほど効率的なので、例外判断は禁止する,担当者がAIに従うなら、モデルの検証は省略できる,A,Human-in-the-loopは形式的に人を置くだけでは不十分。実質的な監督、記録、異議申立ての導線が必要。,正解。Human-in-the-loopは形式的に人を置くだけでは不十分。実質的な監督、記録、異議申立ての導線が必要。,誤り。設問の条件では、人間が最後に押印しているため、説明責任は完全に満たされる は適切でない。,誤り。設問の条件では、AIの出力に従うほど効率的なので、例外判断は禁止する は適切でない。,誤り。設問の条件では、担当者がAIに従うなら、モデルの検証は省略できる は適切でない。,人間を置けば自動的に責任が果たせる罠,Human-in-the-loop;自動化バイアス;説明責任;異議申立て;ローン審査,センセイがうなずくだけなら、四年五組の判断は止まらない。
R38-007,Rebuild_Set38,横断複合・重複回避十七段目,case,クラス事前確率の変化,機械学習/評価,判断/評価,case,安定領域,テスト時の発生率変化を無視する罠,学習時は不良品率が10%だったが、本番ライン改善後は1%になった。分類モデルの適合率が想定より下がる可能性がある。最も適切な注意はどれか。,クラスの発生率が変わると、同じ感度・特異度でも適合率などが変わる場合がある,不良品率が変わっても、全ての評価指標は完全に同じになる,発生率が低いほど、モデルの再現率は必ず100%になる,クラス比率は評価に関係せず、学習率だけを見ればよい,A,クラス事前確率が変化すると、実運用での適合率やアラート件数が変わることがある。,正解。クラス事前確率が変化すると、実運用での適合率やアラート件数が変わることがある。,誤り。設問の条件では、不良品率が変わっても、全ての評価指標は完全に同じになる は適切でない。,誤り。設問の条件では、発生率が低いほど、モデルの再現率は必ず100%になる は適切でない。,誤り。設問の条件では、クラス比率は評価に関係せず、学習率だけを見ればよい は適切でない。,テスト時の発生率変化を無視する罠,クラス事前確率;適合率;不均衡データ;品質検査;評価指標,黒が少なくなった町では、「黒だ」と叫んだ時の当たり方も変わる。
R38-008,Rebuild_Set38,横断複合・重複回避十七段目,case,異常検知の閾値運用,機械学習/運用,判断/評価,case,安定領域,検知数を減らせば良いと考える罠,工場の異常検知でアラートが多すぎるため、閾値を大きく上げたい。最も適切な検討はどれか。,偽陽性と見逃しのコストを比較し、運用側の対応能力も含めて閾値を決める,現場が困るので、アラートがゼロになるまで閾値を上げる,異常検知では正解ラベルが不要なので閾値評価も不要である,閾値を変えても再現率と適合率は変化しない,A,閾値変更は偽陽性と偽陰性のトレードオフを変える。運用コストとリスクを含めて決める。,正解。閾値変更は偽陽性と偽陰性のトレードオフを変える。運用コストとリスクを含めて決める。,誤り。設問の条件では、現場が困るので、アラートがゼロになるまで閾値を上げる は適切でない。,誤り。設問の条件では、異常検知では正解ラベルが不要なので閾値評価も不要である は適切でない。,誤り。設問の条件では、閾値を変えても再現率と適合率は変化しない は適切でない。,検知数を減らせば良いと考える罠,異常検知;閾値;偽陽性;偽陰性;適合率;再現率,黒を見逃す怖さと、毎回叫ぶ疲れを両方見る。
R38-009,Rebuild_Set38,横断複合・重複回避十七段目,case,API連携とデータ持ち出し,生成AI/セキュリティ,判断/運用,case,新しめ,便利な外部APIにそのまま社内データを渡す罠,社内文書要約に外部LLM APIを使う。機密文書を送る可能性がある場合、最初に確認すべきことはどれか。,送信データの種類、保存・学習利用の有無、契約条件、マスキング要否を確認する,APIは暗号化通信なので、契約や保存条件は確認不要である,LLMに送った文書は必ず即時削除され、学習にも使われない,要約結果だけ社内に戻るので、入力文書の扱いは問題にならない,A,外部API利用では入力データの保存、学習利用、再委託、契約条件を確認する必要がある。,正解。外部API利用では入力データの保存、学習利用、再委託、契約条件を確認する必要がある。,誤り。設問の条件では、APIは暗号化通信なので、契約や保存条件は確認不要である は適切でない。,誤り。設問の条件では、LLMに送った文書は必ず即時削除され、学習にも使われない は適切でない。,誤り。設問の条件では、要約結果だけ社内に戻るので、入力文書の扱いは問題にならない は適切でない。,便利な外部APIにそのまま社内データを渡す罠,外部API;LLM;機密情報;データ保存;契約;マスキング,さいはてで手紙を外の鳥に預けるなら、鳥がどこへ飛ぶか確認する。
R38-010,Rebuild_Set38,横断複合・重複回避十七段目,case,データシートの活用,データガバナンス,理解/判断,case,新しめ,データ名だけで利用可否を判断する罠,別部署のデータをAI学習に使う前に、データシートを確認する。最も重視すべき内容はどれか。,収集目的、対象集団、前処理、欠損、利用制限、既知の偏りを確認する,ファイル名と行数だけ確認すれば、学習データとして十分である,データシートは研究論文向けで、社内AI開発では不要である,データ量が多ければ、収集条件の違いは無視できる,A,データシートはデータの来歴、制約、偏りを共有するための文書で、誤用を減らす助けになる。,正解。データシートはデータの来歴、制約、偏りを共有するための文書で、誤用を減らす助けになる。,誤り。設問の条件では、ファイル名と行数だけ確認すれば、学習データとして十分である は適切でない。,誤り。設問の条件では、データシートは研究論文向けで、社内AI開発では不要である は適切でない。,誤り。設問の条件では、データ量が多ければ、収集条件の違いは無視できる は適切でない。,データ名だけで利用可否を判断する罠,データシート;データ来歴;データ品質;バイアス;利用制限,四年五組で紙を拾ったら、誰がいつ何のために描いたかが大事。
