id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
FB01R-001,FinalBoost_Set01_Rebuild,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,学習方式,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,教師あり学習では（　1　）が重要であり、強化学習では（　2　）が重要である。この2つの空欄に入る組合せとして最も適切なのはどれか。,正解ラベル／報酬,報酬／正解ラベル,適合率と再現率の調和平均／更新幅,更新方向／全体の正解割合,A,教師あり学習は「正解ラベル」、強化学習は「報酬」と対応づける。学習時の手がかりと行動の良さを示す信号を入れ替えないこと。,正解。,不適切。報酬／正解ラベルは、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。適合率と再現率の調和平均／更新幅は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。更新方向／全体の正解割合は、（1）と（2）の対応関係がこの設問の文脈と合わない。,教師あり学習と強化学習の対応を逆にする選択肢がひっかけ。,学習方式;教師あり学習;強化学習;穴埋め;対応関係;G検定,さいはての未来では、イオが似ている2概念を並べて観測する。四年五組なら、カサネが「1つ目と2つ目が逆」と静かに戻す。
FB01R-002,FinalBoost_Set01_Rebuild,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,学習方式,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,G検定で教師あり学習と強化学習を見分ける場合、前者は（　1　）、後者は（　2　）と押さえるのが最も適切である。,正解ラベル／報酬,報酬／正解ラベル,時間順序を守る／個体の区別,画素ごとのクラス付与／未来情報が混ざりやすい,A,教師あり学習の要点は「正解ラベル」、強化学習の要点は「報酬」である。似た用語ほど対応関係で覚える。,正解。,不適切。報酬／正解ラベルは、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。時間順序を守る／個体の区別は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。画素ごとのクラス付与／未来情報が混ざりやすいは、（1）と（2）の対応関係がこの設問の文脈と合わない。,教師あり学習と強化学習の対応を逆にする選択肢がひっかけ。,学習方式;教師あり学習;強化学習;穴埋め;対応関係;G検定,さいはての未来では、イオが似ている2概念を並べて観測する。四年五組なら、カサネが「1つ目と2つ目が逆」と静かに戻す。
FB01R-003,FinalBoost_Set01_Rebuild,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,学習方式,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,教師なし学習では（　1　）が重要であり、クラスタリングでは（　2　）が重要である。この2つの空欄に入る組合せとして最も適切なのはどれか。,正解ラベルなし／グループ分け,グループ分け／正解ラベルなし,導入する関数／検索条件や属性情報,文書の分割単位／複雑な表現力,A,教師なし学習は「正解ラベルなし」、クラスタリングは「グループ分け」と対応づける。正解を与えない学習と似たデータをまとめる処理を入れ替えないこと。,正解。,不適切。グループ分け／正解ラベルなしは、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。導入する関数／検索条件や属性情報は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。文書の分割単位／複雑な表現力は、（1）と（2）の対応関係がこの設問の文脈と合わない。,教師なし学習とクラスタリングの対応を逆にする選択肢がひっかけ。,学習方式;教師なし学習;クラスタリング;穴埋め;対応関係;G検定,さいはての未来では、イオが似ている2概念を並べて観測する。四年五組なら、カサネが「1つ目と2つ目が逆」と静かに戻す。
FB01R-004,FinalBoost_Set01_Rebuild,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,学習方式,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,G検定で教師なし学習とクラスタリングを見分ける場合、前者は（　1　）、後者は（　2　）と押さえるのが最も適切である。,正解ラベルなし／グループ分け,グループ分け／正解ラベルなし,画像全体のクラス推定／出力方針の改善,人間の好みを学ぶモデル／クラスと位置の推定,A,教師なし学習の要点は「正解ラベルなし」、クラスタリングの要点は「グループ分け」である。似た用語ほど対応関係で覚える。,正解。,不適切。グループ分け／正解ラベルなしは、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。画像全体のクラス推定／出力方針の改善は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。人間の好みを学ぶモデル／クラスと位置の推定は、（1）と（2）の対応関係がこの設問の文脈と合わない。,教師なし学習とクラスタリングの対応を逆にする選択肢がひっかけ。,学習方式;教師なし学習;クラスタリング;穴埋め;対応関係;G検定,さいはての未来では、イオが似ている2概念を並べて観測する。四年五組なら、カサネが「1つ目と2つ目が逆」と静かに戻す。
FB01R-005,FinalBoost_Set01_Rebuild,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,評価指標,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,適合率では（　1　）が重要であり、再現率では（　2　）が重要である。この2つの空欄に入る組合せとして最も適切なのはどれか。,予測陽性の正しさ／実陽性の拾い上げ,実陽性の拾い上げ／予測陽性の正しさ,トークン間関係の重み付け／証拠後の確率,証拠による更新／順序情報の補足,A,適合率は「予測陽性の正しさ」、再現率は「実陽性の拾い上げ」と対応づける。陽性と予測した中の正しさと本当に陽性のものを拾う力を入れ替えないこと。,正解。,不適切。実陽性の拾い上げ／予測陽性の正しさは、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。トークン間関係の重み付け／証拠後の確率は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。証拠による更新／順序情報の補足は、（1）と（2）の対応関係がこの設問の文脈と合わない。,適合率と再現率の対応を逆にする選択肢がひっかけ。,評価指標;適合率;再現率;穴埋め;対応関係;G検定,さいはての未来では、イオが似ている2概念を並べて観測する。四年五組なら、カサネが「1つ目と2つ目が逆」と静かに戻す。
FB01R-006,FinalBoost_Set01_Rebuild,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,評価指標,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,G検定で適合率と再現率を見分ける場合、前者は（　1　）、後者は（　2　）と押さえるのが最も適切である。,予測陽性の正しさ／実陽性の拾い上げ,実陽性の拾い上げ／予測陽性の正しさ,外部文書の検索利用／曲線下面積,偽陽性率と真陽性率の関係／モデル重みの更新,A,適合率の要点は「予測陽性の正しさ」、再現率の要点は「実陽性の拾い上げ」である。似た用語ほど対応関係で覚える。,正解。,不適切。実陽性の拾い上げ／予測陽性の正しさは、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。外部文書の検索利用／曲線下面積は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。偽陽性率と真陽性率の関係／モデル重みの更新は、（1）と（2）の対応関係がこの設問の文脈と合わない。,適合率と再現率の対応を逆にする選択肢がひっかけ。,評価指標;適合率;再現率;穴埋め;対応関係;G検定,さいはての未来では、イオが似ている2概念を並べて観測する。四年五組なら、カサネが「1つ目と2つ目が逆」と静かに戻す。
FB01R-007,FinalBoost_Set01_Rebuild,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,評価指標,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,F値では（　1　）が重要であり、正解率では（　2　）が重要である。この2つの空欄に入る組合せとして最も適切なのはどれか。,適合率と再現率の調和平均／全体の正解割合,全体の正解割合／適合率と再現率の調和平均,根拠のない生成／データセットの由来や制約,モデルの用途や限界／対策の基本,A,F値は「適合率と再現率の調和平均」、正解率は「全体の正解割合」と対応づける。2指標のバランスと全件に対する正解割合を入れ替えないこと。,正解。,不適切。全体の正解割合／適合率と再現率の調和平均は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。根拠のない生成／データセットの由来や制約は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。モデルの用途や限界／対策の基本は、（1）と（2）の対応関係がこの設問の文脈と合わない。,F値と正解率の対応を逆にする選択肢がひっかけ。,評価指標;F値;正解率;穴埋め;対応関係;G検定,さいはての未来では、イオが似ている2概念を並べて観測する。四年五組なら、カサネが「1つ目と2つ目が逆」と静かに戻す。
FB01R-008,FinalBoost_Set01_Rebuild,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,評価指標,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,G検定でF値と正解率を見分ける場合、前者は（　1　）、後者は（　2　）と押さえるのが最も適切である。,適合率と再現率の調和平均／全体の正解割合,全体の正解割合／適合率と再現率の調和平均,人間の好みを学ぶモデル／人間を排除する,人間確認を組み込む／出力方針の改善,A,F値の要点は「適合率と再現率の調和平均」、正解率の要点は「全体の正解割合」である。似た用語ほど対応関係で覚える。,正解。,不適切。全体の正解割合／適合率と再現率の調和平均は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。人間の好みを学ぶモデル／人間を排除するは、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。人間確認を組み込む／出力方針の改善は、（1）と（2）の対応関係がこの設問の文脈と合わない。,F値と正解率の対応を逆にする選択肢がひっかけ。,評価指標;F値;正解率;穴埋め;対応関係;G検定,さいはての未来では、イオが似ている2概念を並べて観測する。四年五組なら、カサネが「1つ目と2つ目が逆」と静かに戻す。
FB01R-009,FinalBoost_Set01_Rebuild,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,データ分割,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,検証データでは（　1　）が重要であり、テストデータでは（　2　）が重要である。この2つの空欄に入る組合せとして最も適切なのはどれか。,調整用／最終評価用,最終評価用／調整用,既存表現の利用／利用条件の確認,既存表現との類似や依拠／全パラメータを初期状態から学ぶ,A,検証データは「調整用」、テストデータは「最終評価用」と対応づける。モデル選択に使うデータと最後に汎化性能を見るデータを入れ替えないこと。,正解。,不適切。最終評価用／調整用は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。既存表現の利用／利用条件の確認は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。既存表現との類似や依拠／全パラメータを初期状態から学ぶは、（1）と（2）の対応関係がこの設問の文脈と合わない。,検証データとテストデータの対応を逆にする選択肢がひっかけ。,データ分割;検証データ;テストデータ;穴埋め;対応関係;G検定,さいはての未来では、イオが似ている2概念を並べて観測する。四年五組なら、カサネが「1つ目と2つ目が逆」と静かに戻す。
FB01R-010,FinalBoost_Set01_Rebuild,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,データ分割,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,G検定で検証データとテストデータを見分ける場合、前者は（　1　）、後者は（　2　）と押さえるのが最も適切である。,調整用／最終評価用,最終評価用／調整用,証拠による更新／入力による指示乗っ取り,学習データの汚染／証拠後の確率,A,検証データの要点は「調整用」、テストデータの要点は「最終評価用」である。似た用語ほど対応関係で覚える。,正解。,不適切。最終評価用／調整用は、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。証拠による更新／入力による指示乗っ取りは、（1）と（2）の対応関係がこの設問の文脈と合わない。,不適切。学習データの汚染／証拠後の確率は、（1）と（2）の対応関係がこの設問の文脈と合わない。,検証データとテストデータの対応を逆にする選択肢がひっかけ。,データ分割;検証データ;テストデータ;穴埋め;対応関係;G検定,さいはての未来では、イオが似ている2概念を並べて観測する。四年五組なら、カサネが「1つ目と2つ目が逆」と静かに戻す。
