id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords
RB03-001,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,ニューラルネットワーク基礎,1,0,0,1,ニューラルネットワークにおける「重み」として最も適切な説明はどれか。,入力の影響度を調整する学習対象のパラメータ,学習率のように人が事前に決める値,入力データの件数を表す値,訓練データとテストデータを分ける比率,A,重みは各入力をどれだけ強く出力に反映するかを表す学習対象のパラメータである。,正解。重みは各入力をどれだけ強く出力に反映するかを表す学習対象のパラメータである。,不適切。学習率のように人が事前に決める値 はこの設問の中心概念ではない。,不適切。入力データの件数を表す値 はこの設問の中心概念ではない。,不適切。訓練データとテストデータを分ける比率 はこの設問の中心概念ではない。,重みとハイパーパラメータを混同させる問題。,重み;パラメータ;ニューラルネットワーク;ハイパーパラメータ
RB03-002,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,compare,パラメータとハイパーパラメータ,1,0,0,1,次のうち、一般にハイパーパラメータに該当するものとして最も適切なものはどれか。,線形回帰で学習される回帰係数,学習率,ニューラルネットワークの重み,ロジスティック回帰で学習されるバイアス項,B,学習率は学習アルゴリズムの振る舞いを決める値で、人が設定・探索するハイパーパラメータである。,不適切。線形回帰で学習される回帰係数 はこの設問の中心概念ではない。,正解。学習率は学習アルゴリズムの振る舞いを決める値で、人が設定・探索するハイパーパラメータである。,不適切。ニューラルネットワークの重み はこの設問の中心概念ではない。,不適切。ロジスティック回帰で学習されるバイアス項 はこの設問の中心概念ではない。,学習で求まる値か、人が設定する値かを見分ける。,ハイパーパラメータ;学習率;パラメータ;重み
RB03-003,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,単純パーセプトロン,1,0,0,1,単純パーセプトロンの限界として最も適切なものはどれか。,連続値の入力を扱えない,教師あり学習に使えない,線形分離できない問題を解けない,出力が常に確率分布になる,C,単純パーセプトロンは線形分離可能な問題に限界があり、XOR問題を解けないことが代表例である。,不適切。連続値の入力を扱えない はこの設問の中心概念ではない。,不適切。教師あり学習に使えない はこの設問の中心概念ではない。,正解。単純パーセプトロンは線形分離可能な問題に限界があり、XOR問題を解けないことが代表例である。,不適切。出力が常に確率分布になる はこの設問の中心概念ではない。,XOR問題と線形分離を結びつける。,単純パーセプトロン;線形分離;XOR;ミンスキー
RB03-004,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,case,多層パーセプトロン,2,1,0,1,ある分類問題は1本の直線では2クラスを分けられない。単純パーセプトロンでは対応できなかったが、隠れ層を追加すると表現できるようになった。この説明に最も関係するものはどれか。,バッチサイズを1にすること,訓練データをテストデータに混ぜること,ソフトマックス関数を回帰問題に使うこと,多層パーセプトロンによる非線形表現,D,隠れ層を持つ多層パーセプトロンは非線形な決定境界を表現できる。,不適切。バッチサイズを1にすること はこの設問の中心概念ではない。,不適切。訓練データをテストデータに混ぜること はこの設問の中心概念ではない。,不適切。ソフトマックス関数を回帰問題に使うこと はこの設問の中心概念ではない。,正解。隠れ層を持つ多層パーセプトロンは非線形な決定境界を表現できる。,層を増やす目的を「単に深くする」ではなく表現力として理解する。,多層パーセプトロン;隠れ層;非線形;XOR
RB03-005,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,活性化関数,1,0,0,1,活性化関数を用いる主な理由として最も適切なものはどれか。,ニューラルネットワークに非線形性を導入するため,訓練データを自動で増やすため,モデルの著作権を保護するため,テストデータのラベルを隠すため,A,活性化関数によりネットワークは非線形な関係を表現しやすくなる。,正解。活性化関数によりネットワークは非線形な関係を表現しやすくなる。,不適切。訓練データを自動で増やすため はこの設問の中心概念ではない。,不適切。モデルの著作権を保護するため はこの設問の中心概念ではない。,不適切。テストデータのラベルを隠すため はこの設問の中心概念ではない。,活性化関数を「正規化」や「データ拡張」と混同しない。,活性化関数;非線形性;ReLU;シグモイド
RB03-006,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,blank,シグモイド関数,1,0,0,1,2値分類の出力層などで、値を0から1の範囲に変換し確率のように扱いやすくする関数として最も適切なものはどれか。,ReLU関数,シグモイド関数,tanh関数,恒等関数,B,シグモイド関数は出力を0〜1に収めるため、2値分類の確率表現に使われる。,不適切。ReLU関数 はこの設問の中心概念ではない。,正解。シグモイド関数は出力を0〜1に収めるため、2値分類の確率表現に使われる。,不適切。tanh関数 はこの設問の中心概念ではない。,不適切。恒等関数 はこの設問の中心概念ではない。,tanhは-1〜1、ReLUは0以下を0にする。,シグモイド関数;2値分類;ロジスティック回帰;出力層
RB03-007,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,ソフトマックス関数,1,0,0,1,多クラス分類の出力を、各クラスの確率分布のように扱うために用いられる関数として最も適切なものはどれか。,平均二乗誤差,L1正則化,ソフトマックス関数,ドロップアウト,C,ソフトマックス関数は複数クラスのスコアを合計1の確率分布のように変換する。,不適切。平均二乗誤差 はこの設問の中心概念ではない。,不適切。L1正則化 はこの設問の中心概念ではない。,正解。ソフトマックス関数は複数クラスのスコアを合計1の確率分布のように変換する。,不適切。ドロップアウト はこの設問の中心概念ではない。,分類の出力関数と過学習対策を混同しない。,ソフトマックス関数;多クラス分類;確率分布;出力層
RB03-008,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,case,ReLU関数,2,1,0,1,隠れ層でシグモイド関数を使うと、層をさかのぼるほど勾配が小さくなり学習が進みにくかった。そこで、正の入力では勾配が1になりやすい関数を使いたい。最も適切なものはどれか。,ソフトマックス関数,交差エントロピー誤差,ROC曲線,ReLU関数,D,ReLUは入力が正の領域で勾配が消失しにくく、深いネットワークでよく使われる。,不適切。ソフトマックス関数 はこの設問の中心概念ではない。,不適切。交差エントロピー誤差 はこの設問の中心概念ではない。,不適切。ROC曲線 はこの設問の中心概念ではない。,正解。ReLUは入力が正の領域で勾配が消失しにくく、深いネットワークでよく使われる。,ソフトマックスは主に出力層、ReLUは隠れ層で使う文脈が多い。,ReLU;勾配消失;活性化関数;隠れ層
RB03-009,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,compare,ReLU派生,1,0,0,1,ReLUで入力が0未満のとき勾配が0になり学習が止まりやすい問題への対策として、負の領域にも小さな傾きを持たせる活性化関数はどれか。,Leaky ReLU,ソフトマックス,ステップ関数,恒等関数,A,Leaky ReLUは負の入力にも小さな傾きを持たせ、ReLUの死んだニューロン問題を緩和する。,正解。Leaky ReLUは負の入力にも小さな傾きを持たせ、ReLUの死んだニューロン問題を緩和する。,不適切。ソフトマックス はこの設問の中心概念ではない。,不適切。ステップ関数 はこの設問の中心概念ではない。,不適切。恒等関数 はこの設問の中心概念ではない。,ReLUの派生形と出力層の関数を混同させる。,Leaky ReLU;ReLU;死んだニューロン;活性化関数
RB03-010,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,tanh関数,1,0,0,1,tanh関数の出力範囲として最も適切なものはどれか。,0から1,-1から1,0以上無限大,合計が1になる複数値,B,tanh関数は-1から1の範囲の値を出力する。,不適切。0から1 はこの設問の中心概念ではない。,正解。tanh関数は-1から1の範囲の値を出力する。,不適切。0以上無限大 はこの設問の中心概念ではない。,不適切。合計が1になる複数値 はこの設問の中心概念ではない。,シグモイドの0〜1、ReLUの0以上と混同しやすい。,tanh;活性化関数;シグモイド;ReLU
RB03-011,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,損失関数,1,0,0,1,損失関数の説明として最も適切なものはどれか。,データを訓練用とテスト用に分割する関数,特徴量を必ず削除する関数,モデルの予測と正解のずれを数値化する関数,AIの倫理リスクを法的に判定する関数,C,損失関数は予測誤差を数値化し、学習ではこれを小さくするようにパラメータを更新する。,不適切。データを訓練用とテスト用に分割する関数 はこの設問の中心概念ではない。,不適切。特徴量を必ず削除する関数 はこの設問の中心概念ではない。,正解。損失関数は予測誤差を数値化し、学習ではこれを小さくするようにパラメータを更新する。,不適切。AIの倫理リスクを法的に判定する関数 はこの設問の中心概念ではない。,評価指標と損失関数は関連するが同義ではない。,損失関数;誤差関数;予測誤差;最小化
RB03-012,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,compare,平均二乗誤差,1,0,0,1,回帰問題で予測値と実測値の差を二乗して平均する指標・損失として最も適切なものはどれか。,交差エントロピー誤差,適合率,AUC,平均二乗誤差 MSE,D,平均二乗誤差は連続値予測の誤差を評価する代表的な方法である。,不適切。交差エントロピー誤差 はこの設問の中心概念ではない。,不適切。適合率 はこの設問の中心概念ではない。,不適切。AUC はこの設問の中心概念ではない。,正解。平均二乗誤差は連続値予測の誤差を評価する代表的な方法である。,分類問題の交差エントロピーと回帰問題のMSEを区別する。,平均二乗誤差;MSE;回帰;損失関数
RB03-013,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,case,交差エントロピー誤差,2,1,0,1,多クラス分類モデルで、正解クラスに高い確率を割り当てられているかを重視して学習したい。このとき分類問題でよく用いられる損失関数として最も適切なものはどれか。,交差エントロピー誤差,平均絶対誤差 MAE,RMSE,AIC,A,分類問題では、正解ラベルと予測確率分布のずれを測る交差エントロピー誤差がよく用いられる。,正解。分類問題では、正解ラベルと予測確率分布のずれを測る交差エントロピー誤差がよく用いられる。,不適切。平均絶対誤差 MAE はこの設問の中心概念ではない。,不適切。RMSE はこの設問の中心概念ではない。,不適切。AIC はこの設問の中心概念ではない。,MSEやMAEは回帰指標として問われやすい。,交差エントロピー誤差;分類問題;ソフトマックス;損失関数
RB03-014,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,勾配降下法,1,0,0,1,勾配降下法の説明として最も適切なものはどれか。,データをクラスタに分ける方法,損失関数が小さくなる方向へパラメータを更新する方法,著作物の利用許諾を判定する方法,画像の解像度を高める方法,B,勾配降下法は損失関数の勾配を利用してパラメータを反復的に更新する最適化手法である。,不適切。データをクラスタに分ける方法 はこの設問の中心概念ではない。,正解。勾配降下法は損失関数の勾配を利用してパラメータを反復的に更新する最適化手法である。,不適切。著作物の利用許諾を判定する方法 はこの設問の中心概念ではない。,不適切。画像の解像度を高める方法 はこの設問の中心概念ではない。,クラスタリングや画像処理の手法ではない。,勾配降下法;最適化;損失関数;パラメータ更新
RB03-015,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,case,学習率,2,1,0,1,モデル学習で、パラメータ更新の一歩が大きすぎて損失が振動し収束しない。最初に疑うべきハイパーパラメータとして最も適切なものはどれか。,エポック数の定義,クラス数,学習率,テストデータの正解ラベル名,C,学習率が大きすぎると最小値を飛び越え、損失が不安定になることがある。,不適切。エポック数の定義 はこの設問の中心概念ではない。,不適切。クラス数 はこの設問の中心概念ではない。,正解。学習率が大きすぎると最小値を飛び越え、損失が不安定になることがある。,不適切。テストデータの正解ラベル名 はこの設問の中心概念ではない。,学習率は更新幅、エポックはデータ全体を何周使うか。,学習率;勾配降下法;発散;ハイパーパラメータ
RB03-016,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,case,学習率,2,1,0,1,損失は少しずつ下がっているが、学習が非常に遅く、十分な性能に到達するまで時間がかかりすぎる。原因として最も疑いやすいものはどれか。,データリーケージが必ず起きている,出力層にソフトマックスを使ったこと自体が違法である,テストデータが多すぎると学習できない,学習率が小さすぎる,D,学習率が小さすぎると更新幅が小さく、収束までに時間がかかる。,不適切。データリーケージが必ず起きている はこの設問の中心概念ではない。,不適切。出力層にソフトマックスを使ったこと自体が違法である はこの設問の中心概念ではない。,不適切。テストデータが多すぎると学習できない はこの設問の中心概念ではない。,正解。学習率が小さすぎると更新幅が小さく、収束までに時間がかかる。,大きすぎる場合は不安定、小さすぎる場合は遅い。,学習率;収束;勾配降下法;更新幅
RB03-017,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,エポック,1,0,0,1,エポックの説明として最も適切なものはどれか。,学習データ全体を1回使って学習する単位,1回の更新に使うデータ数,予測値と正解値の差,モデルが出力するクラス数,A,エポックは学習データ全体を何周使ったかを表す単位である。,正解。エポックは学習データ全体を何周使ったかを表す単位である。,不適切。1回の更新に使うデータ数 はこの設問の中心概念ではない。,不適切。予測値と正解値の差 はこの設問の中心概念ではない。,不適切。モデルが出力するクラス数 はこの設問の中心概念ではない。,バッチサイズやイテレーションと混同しやすい。,エポック;イテレーション;バッチサイズ;学習
RB03-018,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,バッチサイズ,1,0,0,1,バッチサイズの説明として最も適切なものはどれか。,学習データ全体を何周したか,1回のパラメータ更新に使うデータ数,特徴量の次元を必ず半分にする数,訓練データとテストデータの比率,B,バッチサイズは1回の更新で使うデータのまとまりの大きさを表す。,不適切。学習データ全体を何周したか はこの設問の中心概念ではない。,正解。バッチサイズは1回の更新で使うデータのまとまりの大きさを表す。,不適切。特徴量の次元を必ず半分にする数 はこの設問の中心概念ではない。,不適切。訓練データとテストデータの比率 はこの設問の中心概念ではない。,エポックは全体を何周、バッチサイズは1回更新の件数。,バッチサイズ;ミニバッチ;イテレーション;エポック
RB03-019,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,compare,SGDとバッチ学習,1,1,0,1,バッチ勾配降下法と確率的勾配降下法の違いとして最も適切なものはどれか。,バッチ勾配降下法は教師なし学習専用で、SGDは教師あり学習専用である,SGDは損失関数を使わない,バッチ勾配降下法は全データを使って更新し、SGDはランダムな1件などで更新する,バッチ勾配降下法ではパラメータを更新できない,C,バッチ勾配降下法は全データに基づく更新、SGDは一部データに基づく頻繁な更新が特徴である。,不適切。バッチ勾配降下法は教師なし学習専用で、SGDは教師あり学習専用である はこの設問の中心概念ではない。,不適切。SGDは損失関数を使わない はこの設問の中心概念ではない。,正解。バッチ勾配降下法は全データに基づく更新、SGDは一部データに基づく頻繁な更新が特徴である。,不適切。バッチ勾配降下法ではパラメータを更新できない はこの設問の中心概念ではない。,学習方式の違いを、学習タスクの違いと混同しない。,バッチ勾配降下法;確率的勾配降下法;SGD;ミニバッチ
RB03-020,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,ミニバッチ学習,1,0,0,1,ミニバッチ勾配降下法の説明として最も適切なものはどれか。,全データを必ず1件ずつ人間がラベル付けする方法,全データを一度も使わずに推論だけ行う方法,テストデータだけで重みを更新する方法,データを小さなまとまりに分け、そのまとまりごとに更新する方法,D,ミニバッチ勾配降下法はバッチ学習とSGDの中間的な方法で、実務でも広く使われる。,不適切。全データを必ず1件ずつ人間がラベル付けする方法 はこの設問の中心概念ではない。,不適切。全データを一度も使わずに推論だけ行う方法 はこの設問の中心概念ではない。,不適切。テストデータだけで重みを更新する方法 はこの設問の中心概念ではない。,正解。ミニバッチ勾配降下法はバッチ学習とSGDの中間的な方法で、実務でも広く使われる。,テストデータで学習するのは評価漏れ・リーケージの問題になる。,ミニバッチ勾配降下法;バッチサイズ;SGD;学習
RB03-021,Rebuild_Set03,基礎〜標準：ディープラーニング基礎・最適化・正則化,term,局所最適解,1,0,0,1,局所最適解の説明として最も適切なものはどれか。,周辺では最適に見えるが全体では最良とは限らない解,必ず全体で最も良い解,データが欠損している状態,分類問題で少数派クラスが多い状態,A,局所最適解は近くの範囲では良く見えるが、大域的な最適解とは限らない。,正解。局所最適解は近くの範囲では良く見えるが、大域的な最適解とは限らない。,不適切。必ず全体で最も良い解 はこの設問の中心概念ではない。,不適切。データが欠損している状態 はこの設問の中心概念ではない。,不適切。分類問題で少数派クラスが多い状態 はこの設問の中心概念ではない。,「最適」という語に引きずられて大域最適と混同しない。,局所最適解;大域最適解;勾配降下法;最適化
