id,分野,難易度,問題,A,B,C,D,正解,解説
G5-001,生成AI,標準,LLMの「コンテキストウィンドウ」の説明として最も適切なものはどれか。,一度に参照できる入力・出力を含む文脈量の上限,モデルが学習に使った総データ量,回答の創造性だけを決める値,GPUのメモリ帯域だけを指す量,A,長い会話や資料でも、モデルが一度に扱える文脈には上限がある。
G5-002,生成AI,標準,温度パラメータを高くした場合の一般的な傾向として最も適切なものはどれか。,出力のランダム性が高まり、多様だが不安定になりやすい,常に事実性が向上する,文脈長が物理的に増える,学習データが自動で増える,A,温度はサンプリングのばらつきに関係する。高いほど多様、低いほど決定的になりやすい。
G5-003,生成AI,標準,Top-pサンプリングの説明として最も適切なものはどれか。,累積確率が一定値に達するまでの候補から次トークンを選ぶ,確率上位k個だけを固定数で選ぶ,すべての候補を同じ確率にする,誤差を逆伝播させない学習法,A,Top-pは候補数を固定せず、累積確率で候補集合を決める。Top-kとの違いが狙われる。
G5-004,Transformer,標準,Positional EncodingがTransformerで必要とされる主な理由はどれか。,系列内の語順や位置情報をモデルに与えるため,勾配消失を完全に防ぐため,画像を小さく圧縮するため,ラベルなしデータを自動分類するため,A,Self-Attentionだけでは順序情報を明示的に持ちにくいため、位置情報を加える。
G5-005,Transformer,標準,次のうち、Self-Attentionの説明として最も適切なものはどれか。,同一系列内の各要素が、他の要素との関係を重み付けして参照する仕組み,時系列データを必ず一方向に逐次処理する仕組み,画像の局所領域だけを畳み込む仕組み,報酬にもとづいて行動を選ぶ仕組み,A,Self-Attentionは文中の単語同士など、系列内の関係を重みとして扱う。
G5-006,Transformer,標準,Multi-Head Attentionの利点として最も適切なものはどれか。,複数の異なる観点から注意を向け、関係性を捉えやすくする,モデルを必ず解釈可能にする,学習データを不要にする,出力を必ず短くする,A,複数ヘッドにより、異なる関係や位置への注目を並列に学びやすい。
G5-007,生成AI,標準,GPT系モデルの基本的な学習目的に近いものはどれか。,文脈から次に続くトークンを予測する,入力文全体を双方向に穴埋めすることだけ,決定木で分岐規則を作ること,画像の輪郭だけを抽出すること,A,GPTは自己回帰型モデルとして、次トークン予測を中心に学習する。
G5-008,生成AI,標準,次のうち、BERTの特徴として最も適切なものはどれか。,文脈を双方向に捉えるEncoder型モデルとして知られる,自己回帰的に次トークンだけを生成するDecoder型モデル,報酬最大化だけで学習するエージェント,畳み込み層だけで構成される画像生成モデル,A,BERTはTransformer Encoderを用い、双方向文脈理解に強い。
G5-009,生成AI,難しめ,Instruction Tuningの説明として最も適切なものはどれか。,指示と望ましい応答のデータで、指示追従能力を高める調整,外部DBを検索して回答に付け足す手法,モデルの重みを一切変えずに検索だけ行う手法,画像の明るさを増やす前処理,A,Instruction Tuningは指示に従う能力を高めるための追加学習。RAGとは異なる。
G5-010,生成AI,難しめ,RLHFの説明として最も適切なものはどれか。,人間のフィードバックを使って報酬モデルなどを通じ応答を調整する手法,ラベルなしデータをクラスタに分ける手法,畳み込みで画像特徴を抽出する手法,SQLだけで回答を生成する手法,A,RLHFは人間の好みや評価を反映するために強化学習的手法を用いる。
