id,set,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
R04-0001,Rebuild_Set04,case,CNN基礎,2,1,0,2,画像認識で多層パーセプトロンではなくCNNを使う理由として最も適切なものはどれか。,CNNはラベルなしデータ専用だから,画像の局所的な位置関係を利用して特徴抽出できるため,CNNは重み更新を行わないから,CNNは文字列処理専用だから,B,CNNは畳み込みにより局所構造を保ちながら特徴マップを作る。,「CNNはラベルなしデータ専用だから」はこの設問の条件とは異なる。,正解。,「CNNは重み更新を行わないから」はこの設問の条件とは異なる。,「CNNは文字列処理専用だから」はこの設問の条件とは異なる。,「画像＝CNN」と丸暗記せず、局所構造・重み共有を押さえる。,,CNN;画像認識;局所構造;重み共有
R04-0002,Rebuild_Set04,term,畳み込み,1,0,0,1,CNNでフィルタを入力画像上で移動させながら適用し、特徴マップを生成する処理はどれか。,プーリング,教師強制,畳み込み,匿名加工,C,畳み込みはフィルタまたはカーネルで局所特徴を抽出する処理。,「プーリング」はこの設問の条件とは異なる。,「教師強制」はこの設問の条件とは異なる。,正解。,「匿名加工」はこの設問の条件とは異なる。,プーリングは抽出済み特徴を集約する処理。,,畳み込み;フィルタ;カーネル;特徴マップ
R04-0003,Rebuild_Set04,term,フィルタ,1,0,0,1,畳み込み層でエッジや模様などを検出するために学習される小さな重みのまとまりはどれか。,エポック,混同行列,報酬関数,フィルタまたはカーネル,D,フィルタは入力に畳み込まれ、反応を特徴マップとして出す。,「エポック」はこの設問の条件とは異なる。,「混同行列」はこの設問の条件とは異なる。,「報酬関数」はこの設問の条件とは異なる。,正解。,エポックや混同行列は学習・評価の用語で、局所特徴を検出する重みではない。,,フィルタ;カーネル;畳み込み;CNN
R04-0004,Rebuild_Set04,term,特徴マップ,1,0,0,1,畳み込みの結果として得られる、特定特徴への反応を空間的に表したものはどれか。,潜在変数,デンドログラム,特徴マップ,ROC曲線,C,特徴マップはフィルタがどこに反応したかを表す。,「潜在変数」はこの設問の条件とは異なる。,「デンドログラム」はこの設問の条件とは異なる。,正解。,「ROC曲線」はこの設問の条件とは異なる。,潜在変数やデンドログラムとは役割が違う。,,特徴マップ;CNN;畳み込み
R04-0005,Rebuild_Set04,term,ストライド,1,0,0,1,畳み込み処理でフィルタを何ピクセルずつずらすかを表す用語はどれか。,パディング,プーリング,ドロップアウト,ストライド,D,ストライドはフィルタの移動幅。大きいほど出力サイズは小さくなりやすい。,「パディング」はこの設問の条件とは異なる。,「プーリング」はこの設問の条件とは異なる。,「ドロップアウト」はこの設問の条件とは異なる。,正解。,パディングは周囲を埋める処理。,,ストライド;畳み込み;出力サイズ
R04-0006,Rebuild_Set04,case,パディング,2,1,0,2,3×3フィルタで畳み込むと出力が小さくなるため、入力画像の周囲に0を追加した。この処理はどれか。,パディング,最大値プーリング,Global Average Pooling,Early Stopping,A,パディングは畳み込み前に周囲を埋め、出力サイズを調整する。,正解。,「最大値プーリング」はこの設問の条件とは異なる。,「Global Average Pooling」はこの設問の条件とは異なる。,「Early Stopping」はこの設問の条件とは異なる。,プーリングやGAPは周囲を埋める処理ではない。,,パディング;ゼロパディング;CNN
R04-0007,Rebuild_Set04,term,プーリング,1,0,0,1,特徴マップを小領域ごとに集約して小さくするCNNの処理はどれか。,畳み込み,ファインチューニング,プーリング,形態素解析,C,プーリングは最大値や平均値で特徴マップを縮小し、位置ずれに頑健にする。,「畳み込み」はこの設問の条件とは異なる。,「ファインチューニング」はこの設問の条件とは異なる。,正解。,「形態素解析」はこの設問の条件とは異なる。,畳み込みは特徴抽出、プーリングは集約。,,プーリング;最大値プーリング;平均値プーリング
R04-0008,Rebuild_Set04,compare,最大値プーリング,2,1,0,2,小領域内の最大値を代表値として取り出す処理はどれか。,平均値プーリング,最大値プーリング,バッチ正規化,NMS,B,最大値プーリングは小領域の最大反応を残す。,「平均値プーリング」はこの設問の条件とは異なる。,正解。,「バッチ正規化」はこの設問の条件とは異なる。,「NMS」はこの設問の条件とは異なる。,平均値プーリングは平均値を取る。NMSは物体検出の後処理。,,最大値プーリング;プーリング
R04-0009,Rebuild_Set04,compare,平均値プーリング,2,1,0,2,小領域内の値の平均を代表値にするプーリング処理はどれか。,最大値プーリング,畳み込み,平均値プーリング,CTC,C,平均値プーリングは局所領域の平均値を使う。,「最大値プーリング」はこの設問の条件とは異なる。,「畳み込み」はこの設問の条件とは異なる。,正解。,「CTC」はこの設問の条件とは異なる。,最大値だけを残す処理と区別する。,,平均値プーリング;プーリング;CNN
R04-0010,Rebuild_Set04,term,全結合層,1,0,0,1,CNNで抽出した特徴を最終的な分類に結びつけるため、前層のユニットと広く接続する層はどれか。,畳み込み層,プーリング層,忘却ゲート,全結合層,D,全結合層は特徴を分類器へ渡す役割を持つ。,「畳み込み層」はこの設問の条件とは異なる。,「プーリング層」はこの設問の条件とは異なる。,「忘却ゲート」はこの設問の条件とは異なる。,正解。,忘却ゲートはLSTMの用語。,,全結合層;CNN;分類
