id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G1-001,AI基礎,標準,強いAIの説明として最も適切なものはどれか。,人間のような意識や汎用的知能を持つAIとして議論される概念,特定タスクだけに特化したAI,大量データを使うAI,GPUだけで動くAI,A,正解は「人間のような意識や汎用的知能を持つAIとして議論される概念」。強いAIはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-002,AI基礎,標準,弱いAIの説明として最も適切なものはどれか。,人間の意識を持つAI,必ずロボット形状のAI,学習しないAI,特定の目的やタスクに特化して知的処理を行うAI,D,正解は「特定の目的やタスクに特化して知的処理を行うAI」。弱いAIはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-003,AI基礎,標準,チューリングテストの説明として最も適切なものはどれか。,過学習を防ぐ正則化手法,法的責任を判定する制度,機械が人間と区別できない応答をするかを見る考え方,画像分類の精度を測る指標,C,正解は「機械が人間と区別できない応答をするかを見る考え方」。チューリングテストはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-004,AI基礎,難,シンボルグラウンディング問題の説明として最も適切なものはどれか。,学習率が大きすぎる問題,記号や単語が現実世界の意味にどう接地するかという問題,GPU不足で学習できない問題,著作権表示が消える問題,B,正解は「記号や単語が現実世界の意味にどう接地するかという問題」。シンボルグラウンディング問題はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-005,AI基礎,難,フレーム問題の説明として最も適切なものはどれか。,現実世界で考慮すべき事柄と無視してよい事柄を選ぶ難しさ,画像のフレームを補間する問題,テストデータを分割する問題,モデルを説明可能にする問題,A,正解は「現実世界で考慮すべき事柄と無視してよい事柄を選ぶ難しさ」。フレーム問題はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-006,AI基礎,難,身体性の説明として最も適切なものはどれか。,AIは必ず人型でなければならないという規則,画像認識で足が必要な性質,クラウドAIが物理身体を持つ性質,知能や意味理解が身体を通じた環境との相互作用に関係するという論点,D,正解は「知能や意味理解が身体を通じた環境との相互作用に関係するという論点」。身体性はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-007,AI史,標準,第1次AIブームの説明として最も適切なものはどれか。,Transformerだけが中心となった時期,生成AIだけが中心となった時期,探索と推論が中心となった時期,エキスパートシステムだけが中心となった時期,C,正解は「探索と推論が中心となった時期」。第1次AIブームはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-008,AI史,標準,第2次AIブームの説明として最も適切なものはどれか。,ChatGPTが登場した時期,エキスパートシステムが注目された時期,探索と推論が初めて注目された時期,GANだけが発展した時期,B,正解は「エキスパートシステムが注目された時期」。第2次AIブームはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-009,AI史,標準,第3次AIブームの説明として最も適切なものはどれか。,大量データ・計算資源・ディープラーニングの発展が背景にある時期,人手ルールだけが復活した時期,AI研究が完全に終わった時期,法律だけが中心になった時期,A,正解は「大量データ・計算資源・ディープラーニングの発展が背景にある時期」。第3次AIブームはG検定で混同されやすいので、選択肢の似た言葉に注意。,未
G1-010,AI史,難,AI冬の時代の説明として最も適切なものはどれか。,AIが完成して研究不要になった時期,GPUが普及しすぎた時期,著作権法がなくなった時期,期待に技術が追いつかず資金や関心が低下した時期,D,正解は「期待に技術が追いつかず資金や関心が低下した時期」。AI冬の時代はG検定で混同されやすいので、選択肢の似た言葉に注意。,未
